initial_mode,states,Wind,GF,GFPRED,GFACT,kill_switch,modes,throttle,max_deviation,max_altitude,duration,final_landing_state,freefall_occurred,mission_complete
OFFBOARD,Flying,1,Yes,No,Return mode,No,POSCTL,0.0,14.73085616,8.43568,35.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Hold mode,No,STABILIZED,225.0,14.76118354,8.218861,87.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Return mode,No,OFFBOARD,-100.0,0.16044742,12.619712,76.0,True,False,True
OFFBOARD,Flying,1,Yes,No,Return mode,No,ALTCTL,260.0,14.78976966,8.455968,87.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Hold mode,No,ALTCTL,600.0,14.9257048,16.143398,105.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Hold mode,No,OFFBOARD,100.0,0.0964877,12.646309,77.0,True,False,True
OFFBOARD,Flying,1,Yes,No,Warning,No,STABILIZED,0.0,14.76817344,8.241953,25.0,True,True,False
OFFBOARD,Flying,1,Yes,No,Hold mode,No,STABILIZED,0.0,14.6073103,8.299548,25.0,True,True,False
OFFBOARD,Flying,1,Yes,No,Warning,No,POSCTL,550.0,14.66040452,8.4390335,98.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Warning,No,STABILIZED,445.0,12.6942127,56.35601,143.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Return mode,No,STABILIZED,435.0,14.7882635,13.733894,103.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Return mode,No,POSCTL,260.0,14.82034875,8.6380415,87.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Return mode,No,POSCTL,550.0,14.7666213,8.483289,98.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Land mode,No,STABILIZED,450.0,13.3875748,84.7285,175.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Land mode,No,POSCTL,550.0,14.8240813,8.651902,99.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Hold mode,No,ALTCTL,615.0,13.0608282,19.097755,109.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Land mode,No,STABILIZED,225.0,14.89451064,8.32161,88.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Warning,No,POSCTL,600.0,14.78509034,17.083044,107.0,True,False,False
OFFBOARD,Flying,1,Yes,No,Land mode,No,OFFBOARD,0.0,0.210901946,12.780591,77.0,True,False,False
